,Electrolyte
3556,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propylimidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3557,"I2 (0.05 M), LiI (0.1 M), 1-methyl-3-propylimidazolium iodide (PMII) (1.0 M), and 4-tert-butylpyridine (0.5 M) in acetonitrile and valeronitrile with a volume ratio of 85/15"
3558,"I2 (0.05 M), LiI (0.1 M), 1-methyl-3-propylimidazolium iodide (PMII) (1.0 M), and 4-tert-butylpyridine (0.5 M) in acetonitrile and valeronitrile with a volume ratio of 85/15"
3559,"I2 (0.05 M), LiI (0.1 M), 1-methyl-3-propylimidazolium iodide (PMII) (1.0 M), and 4-tert-butylpyridine (0.5 M) in acetonitrile and valeronitrile with a volume ratio of 85/15"
3560,"I2 (0.05 M), LiI (0.1 M), 1-methyl-3-propylimidazolium iodide (PMII) (1.0 M), and 4-tert-butylpyridine (0.5 M) in acetonitrile and valeronitrile with a volume ratio of 85/15"
3561,"LiI (0.05 M), I2 (0.05 M), DMPII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3562,"LiI (0.05 M), I2 (0.05 M), DMPII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3563,"LiI (0.05 M), I2 (0.05 M), DMPII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3564,"LiI (0.05 M), I2 (0.05 M), DMPII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3565,"LiI (0.05 M), I2 (0.05 M), DMPII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3566,"LiI (0.05 M), I2 (0.05 M), DMPII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3567,"LiI (0.05 M), I2 (0.05 M), DMPII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3568,"LiI (0.05 M), I2 (0.05 M), DMPII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3569,"LiI (0.1 M), I2 (0.05 M), PMII (0.6 M), 4-tert-butyl-pyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3570,"LiI (0.1 M), I2 (0.05 M), PMII (0.6 M), 4-tert-butyl-pyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3571,"LiI (0.1 M), I2 (0.05 M), PMII (0.6 M), 4-tert-butyl-pyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3572,"LiI (0.1 M), I2 (0.05 M), PMII (0.6 M), 4-tert-butyl-pyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3573,"LiI (0.1 M), I2 (0.05 M), PMII (0.6 M), 4-tert-butyl-pyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3574,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3575,iodide/triiodide
3576,"lithium iodide (LiI, 0.1 M), diiodine (I2, 0.05 M), PMII (0.6 M), and TBP (0.5 M) in a mixture of acetonitrile and methoxypropionitrile (v/v = 1:1)"
3577,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3578,"0.1 M LiI, 0.05 M I2, 0.6 M 1,2-dimethyl-3-propyl-imidazolium iodide (DMPII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3579,"0.1 M LiI, 0.05 M I2, 0.6 M 1,2-dimethyl-3-propyl-imidazolium iodide (DMPII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3580,"0.1 M LiI, 0.05 M I2, 0.6 M 1,2-dimethyl-3-propyl-imidazolium iodide (DMPII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3581,"0.1 M LiI, 0.05 M I2, 0.6 M 1,2-dimethyl-3-propyl-imidazolium iodide (DMPII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3582,"0.1 M LiI, 0.05 M I2, 0.6 M 1,2-dimethyl-3-propyl-imidazolium iodide (DMPII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3583,"0.1 M LiI, 0.05 M I2, 0.6 M 1,2-dimethyl-3-propyl-imidazolium iodide (DMPII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3584,"0.6 M 1,2-dimetyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
3585,"0.1 M LiI, 0.05 M I2, 0.6 M 1,2-dimethyl-3-propyl-imidazolium iodide (DMPII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3586,"0.1 M LiI, 0.05 M I2, 0.6 M 1,2-dimethyl-3-propyl-imidazolium iodide (DMPII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3587,"0.1 M LiI, 0.05 M I2, 0.6 M 1,2-dimethyl-3-propyl-imidazolium iodide (DMPII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3588,"0.1 M LiI, 0.05 M I2, 0.6 M 1,2-dimethyl-3-propyl-imidazolium iodide (DMPII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3589,"0.1 M LiI, 0.05 M I2, 0.6 M 1,2-dimethyl-3-propyl-imidazolium iodide (DMPII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3590,"0.5 M LiI, 0.05 M I2 and 0.5 M 4-tert-butyl-pyridine (TBP) in 3-methoxypropionitrile"
3591,"0.5 M LiI, 0.05 M I2 and 0.5 M 4-tert-butyl-pyridine (TBP) in 3-methoxypropionitrile"
3592,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazoliumiodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3593,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazoliumiodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3594,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazoliumiodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3595,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazoliumiodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3596,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazoliumiodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3597,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazoliumiodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3598,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazoliumiodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3599,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPII), 0.1 M LiI, 0.05 M I2 and 0.5 M tert-butylpyridine (TBP) in CH3CN"
3600,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3601,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3602,"0.1 M LiI, 0.05 M I2, 0.6 M 1,2-dimethyl-3-propyl-imidazolium iodide (DMPII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile and valeronitrile (volume ratio of 85:15)"
3603,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazoliumiodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3604,"5 wt% poly(vinylidenefluoride-co-hexafluoropropylene) in a redox solution containing 0.1 M LiI, 0.05 M I2 , 0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) and 0.5 M 4-tert-butylpyridine (TBP) in 3-methoxypropionitrile (MPN)"
3605,"5 wt% poly(vinylidenefluoride-co-hexafluoropropylene) in a redox solution containing 0.1 M LiI, 0.05 M I2 , 0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) and 0.5 M 4-tert-butylpyridine (TBP) in 3-methoxypropionitrile (MPN)"
3606,"5 wt% poly(vinylidenefluoride-co-hexafluoropropylene) in a redox solution containing 0.1 M LiI, 0.05 M I2 , 0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) and 0.5 M 4-tert-butylpyridine (TBP) in 3-methoxypropionitrile (MPN)"
3607,"0.6 M 1,2-dimetyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
3608,"5 wt% poly(vinylidenefluoride-co-hexafluoropropylene) in a redox solution containing 0.1 M LiI, 0.05 M I2 , 0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) and 0.5 M 4-tert-butylpyridine (TBP) in 3-methoxypropionitrile (MPN)"
3609,"5 wt% poly(vinylidenefluoride-co-hexafluoropropylene) in a redox solution containing 0.1 M LiI, 0.05 M I2 , 0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) and 0.5 M 4-tert-butylpyridine (TBP) in 3-methoxypropionitrile (MPN)"
3610,"5 wt% poly(vinylidenefluoride-co-hexafluoropropylene) in a redox solution containing 0.1 M LiI, 0.05 M I2 , 0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) and 0.5 M 4-tert-butylpyridine (TBP) in 3-methoxypropionitrile (MPN)"
3611,"5 wt% poly(vinylidenefluoride-co-hexafluoropropylene) in a redox solution containing 0.1 M LiI, 0.05 M I2 , 0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) and 0.5 M 4-tert-butylpyridine (TBP) in 3-methoxypropionitrile (MPN)"
3612,"5 wt% poly(vinylidenefluoride-co-hexafluoropropylene) in a redox solution containing 0.1 M LiI, 0.05 M I2 , 0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) and 0.5 M 4-tert-butylpyridine (TBP) in 3-methoxypropionitrile (MPN)"
3613,"0.5 M TBP, 0.25 M tris(2,2'-bipyridiene)-cobalt(II) di[bis(trifluoromethanesulfonyl)-imide], 0.05 M tris-(2,2'-bipyridiene)cobalt(III) tris[bis(trifluoromethanesulfonyl)imide], and 0.1 M LiTFSI in acetonitrile"
3614,"0.5 M TBP, 0.25 M tris(2,2'-bipyridiene)-cobalt(II) di[bis(trifluoromethanesulfonyl)-imide], 0.05 M tris-(2,2'-bipyridiene)cobalt(III) tris[bis(trifluoromethanesulfonyl)imide], and 0.1 M LiTFSI in acetonitrile"
3615,"0.5 M TBP, 0.25 M tris(2,2'-bipyridiene)-cobalt(II) di[bis(trifluoromethanesulfonyl)-imide], 0.05 M tris-(2,2'-bipyridiene)cobalt(III) tris[bis(trifluoromethanesulfonyl)imide], and 0.1 M LiTFSI in acetonitrile"
3616,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.5 M tert-butylpyridine (tBP), 0.1 M guanidiniumthiocyanate (GNCS), 0.1 M LiI and 0.03 M I2 in acetonitrile and valeronitrile (v/v, 85/15)"
3617,"0.05 M I2, 0.5 M LiI, 0.5 M 1,2-dimethyl-3-n-propylimdazolium iodide and 0.5 M tert-butyl-pyridine (TBP) in CH3CN/valeronitrile (85/15 v/v)"
3618,"0.05 M I2, 0.5 M LiI, 0.5 M 1,2-dimethyl-3-n-propylimdazolium iodide and 0.5 M tert-butyl-pyridine (TBP) in CH3CN/valeronitrile (85/15 v/v)"
3619,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.03 M I2, 0.05 M LiI, 0.1 M GuNCS, 0.5 M 4-t-butylpyridine in acetonitrile"
3620,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propylimidazolium iodide, and 0.5 M 4-tert-butylpyridine in acetonitrile"
3621,"0.25 M di-imidazole iodide polyethyleneglycol (PEG 1000 mol wt), 0.05 M iodine and 0.5 M 4-tert-butylpyrindine (TBP), 0.1 M tetrabutylammonium perchlorate (TBAP) in 3-methoxypropionitrile (MPN)"
3622,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.03 M I2, 0.05 M LiI, 0.1 M GuNCS, 0.5 M 4-t-butylpyridine in acetonitrile"
3623,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.03 M I2, 0.05 M LiI, 0.1 M GuNCS, 0.5 M 4-t-butylpyridine in acetonitrile"
3624,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.1 M guanidinium thiocyanate (GuSCN), 0.03 M I2, 0.05 M LiI, and 0.5 M tert-butypyridine (4-TBP) in acetonitrile (CH3CN) and valeronitrile (VN) (85:15 v/v)"
3625,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.1 M guanidinium thiocyanate (GuSCN), 0.03 M I2, 0.05 M LiI, and 0.5 M tert-butypyridine (4-TBP) in acetonitrile (CH3CN) and valeronitrile (VN) (85:15 v/v)"
3626,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.1 M guanidinium thiocyanate (GuSCN), 0.03 M I2, 0.05 M LiI, and 0.5 M tert-butypyridine (4-TBP) in acetonitrile (CH3CN) and valeronitrile (VN) (85:15 v/v)"
3627,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.1 M guanidinium thiocyanate (GuSCN), 0.03 M I2, 0.05 M LiI, and 0.5 M tert-butypyridine (4-TBP) in acetonitrile (CH3CN) and valeronitrile (VN) (85:15 v/v)"
3628,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.1 M guanidinium thiocyanate (GuSCN), 0.03 M I2, 0.05 M LiI, and 0.5 M tert-butypyridine (4-TBP) in acetonitrile (CH3CN) and valeronitrile (VN) (85:15 v/v)"
3629,"0.6 M 1,2-dimetyl-3-propyl imidazolium iodide, 0.05 M iodine, 0.1 M LiI, and 0.5 M tert-butylpyridine in acetonitrile"
3630,"0.165 M [Co(bpy)3](B(CN)4)2, 0.045 M [Co(bpy)3](B(CN)4)3, 0.8M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3631,"0.165 M 1,3-dimethylimidazolium iodide, 0.045 M I2, 0.8 M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3632,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.03 M iodine, 0.1 M guanidinium thiocyanate and 0.5 M tert-butylpyridine in valeronitrile/acetonitrile (15:85 v/v)"
3633,"0.165 M [Co(bpy)3](B(CN)4)2, 0.045 M [Co(bpy)3](B(CN)4)3, 0.8M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3634,"0.165 M [Co(bpy)3](B(CN)4)2, 0.045 M [Co(bpy)3](B(CN)4)3, 0.8M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3635,"0.165 M [Co(bpy)3](B(CN)4)2, 0.045 M [Co(bpy)3](B(CN)4)3, 0.8M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3636,"0.165 M [Co(bpy)3](B(CN)4)2, 0.045 M [Co(bpy)3](B(CN)4)3, 0.8M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3637,"0.165 M [Co(bpy)3](B(CN)4)2, 0.045 M [Co(bpy)3](B(CN)4)3, 0.8M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3638,"0.165 M [Co(bpy)3](B(CN)4)2, 0.045 M [Co(bpy)3](B(CN)4)3, 0.8M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3639,"0.165 M [Co(bpy)3](B(CN)4)2, 0.045 M [Co(bpy)3](B(CN)4)3, 0.8M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3640,"0.165 M [Co(bpy)3](B(CN)4)2, 0.045 M [Co(bpy)3](B(CN)4)3, 0.8M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3641,"0.165 M [Co(bpy)3](B(CN)4)2, 0.045 M [Co(bpy)3](B(CN)4)3, 0.8M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3642,"0.165 M [Co(bpy)3](B(CN)4)2, 0.045 M [Co(bpy)3](B(CN)4)3, 0.8M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3643,"0.6 M triethyleneglycol-bis(3-methylimidazolium)diiodide (K36), 0.1 M lithium iodide (LiI), 0.05 M iodine (I 2 ) and 0,5 M tert-butyl pyridine (TBP) in 3-methoxy propyonitrile (MPN)"
3644,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.1 M guanidinium thiocyanate (GuSCN), 0.03 M I2, 0.05 M LiI, and 0.5 M tert-butypyridine (4-TBP) in acetonitrile (CH3CN) and valeronitrile (VN) (85:15 v/v)"
3645,"0.165 M [Co(bpy)3](B(CN)4)2, 0.045 M [Co(bpy)3](B(CN)4)3, 0.8M tert-butyl pyridine (TBP) and 0.1 M LiClO4 in acetonitrile"
3646,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.03 M I2, 0.05 M LiI, 0.1 M GuNCS, 0.5 M 4-t-butylpyridine in acetonitrile"
3647,"0.6 M propylmethylimidazolium iodide (PMII), 50 mM I2, 10 mM LiI, 0.1 M Guanidinium thiocianate (GuNCS), 0.5 M tert-butylpyridine (TBP) in acetonitrile:valeronitrile (85:15 vol)"
3648,"0.6 M propylmethylimidazolium iodide (PMII), 50 mM I2, 10 mM LiI, 0.1 M Guanidinium thiocianate (GuNCS), 0.5 M tert-butylpyridine (TBP) in acetonitrile:valeronitrile (85:15 vol)"
3649,"0.6 M propylmethylimidazolium iodide (PMII), 50 mM I2, 10 mM LiI, 0.1 M Guanidinium thiocianate (GuNCS), 0.5 M tert-butylpyridine (TBP) in acetonitrile:valeronitrile (85:15 vol)"
3650,"0.4 M LiI, 0.4 M tetrabutylammonium iodide (TBAI), and 0.04 M I2 dissolved in 0.3 M N-methylbenzimidazole (NMB) in acetonitrile (ACN) and 3-methoxypropionitrile (MPN) solvent mixture at a volume ratio of 1:1"
3651,"0.4 M LiI, 0.4 M tetrabutylammonium iodide (TBAI), and 0.04 M I2 dissolved in 0.3 M N-methylbenzimidazole (NMB) in acetonitrile (ACN) and 3-methoxypropionitrile (MPN) solvent mixture at a volume ratio of 1:1"
3652,"0.4 M LiI, 0.4 M tetrabutylammonium iodide (TBAI), and 0.04 M I2 dissolved in 0.3 M N-methylbenzimidazole (NMB) in acetonitrile (ACN) and 3-methoxypropionitrile (MPN) solvent mixture at a volume ratio of 1:1"
3653,AN-50
3654,"0.4 M LiI, 0.4 M tetrabutylammonium iodide (TBAI), and 0.04 M I2 dissolved in 0.3 M N-methylbenzimidazole (NMB) in acetonitrile (ACN) and 3-methoxypropionitrile (MPN) solvent mixture at a volume ratio of 1:1"
3655,"LiI (0.1 M), I2 (0.05 M), PMII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3656,"LiI (0.1 M), I2 (0.05 M), PMII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3657,"LiI (0.1 M), I2 (0.05 M), PMII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3658,"LiI (0.1 M), I2 (0.05 M), PMII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3659,"LiI (0.1 M), I2 (0.05 M), PMII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3660,"LiI (0.1 M), I2 (0.05 M), PMII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3661,"LiI (0.1 M), I2 (0.05 M), PMII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3662,"LiI (0.1 M), I2 (0.05 M), PMII (1.0 M), 4-tert-butylpyridine (0.5 M) in a mixture of acetonitrile and valeronitrile (volume ratio 85:15)"
3663,"0.25 M tris(2,2'-bipyridine) cobalt(II) di[bis(trifluoromethanesulfonyl)imide], 0.05 M tris(2,2'-bipyridine)cobalt(III) tris[bis(trifluoromethanesulfonyl)imide], 0.5 M 4-tert-butylpyridine (TBP) and 0.1 M lithium bis(tri-fluoromethanesulfonyl)imide (LiTFSI) in acetonitrile"
3664,"0.25 M tris(2,2'-bipyridine) cobalt(II) di[bis(trifluoromethanesulfonyl)imide], 0.05 M tris(2,2'-bipyridine)cobalt(III) tris[bis(trifluoromethanesulfonyl)imide], 0.5 M 4-tert-butylpyridine (TBP) and 0.1 M lithium bis(tri-fluoromethanesulfonyl)imide (LiTFSI) in acetonitrile"
3665,"0.25 M tris(2,2'-bipyridine) cobalt(II) di[bis(trifluoromethanesulfonyl)imide], 0.05 M tris(2,2'-bipyridine)cobalt(III) tris[bis(trifluoromethanesulfonyl)imide], 0.5 M 4-tert-butylpyridine (TBP) and 0.1 M lithium bis(tri-fluoromethanesulfonyl)imide (LiTFSI) in acetonitrile"
3666,"5 wt% poly(vinylidenefluoride-co-hexafluoropropylene) in a redox solution containing 0.1 M LiI, 0.05 M I2 , 0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) and 0.5 M 4-tert-butylpyridine (TBP) in 3-methoxypropionitrile (MPN)"
3667,"5 wt% poly(vinylidenefluoride-co-hexafluoropropylene) in a redox solution containing 0.1 M LiI, 0.05 M I2 , 0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI) and 0.5 M 4-tert-butylpyridine (TBP) in 3-methoxypropionitrile (MPN)"
3668,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.03 M I2, 0.05 M LiI, 0.1 M GuNCS, 0.5 M 4-t-butylpyridine in acetonitrile"
3669,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.03 M I2, 0.05 M LiI, 0.1 M GuNCS, 0.5 M 4-t-butylpyridine in acetonitrile"
3670,"1.0 M 1,3-dimethylimidazolium iodide (DMII), 0.03 M I2, 0.05 M LiI, 0.1 M GuNCS, 0.5 M 4-t-butylpyridine in acetonitrile"
3671,1.0 M LiI and 20 mM I2 in acetonitrile
3672,1.0 M LiI and 20 mM I2 in acetonitrile
3673,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M I2 , 0.05 M LiI, 0.1 M guanidinium thiocyanate and 0.50 M 4-tert-butylpyridine in 85:15 mixture of acetonitrile and valeronitrile"
3674,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M I2 , 0.05 M LiI, 0.1 M guanidinium thiocyanate and 0.50 M 4-tert-butylpyridine in 85:15 mixture of acetonitrile and valeronitrile"
3675,"0.25 M tris(1,10-phenanthroline)cobalt(II) di[bis(trifluoromethanesulfonyl)imide], 0.05 M tris(1,10-phenanthroline) cobalt(III) tris[bis(trifluoromethanesulfonyl)imide], 0.7 M tert-butylpyridine (TBP), and 0.05 M lithium bis(trifluoromethanesulfonyl)imide in acetonitrile"
3676,AN-50
3677,"0.05 M LiI, 0.03 M I2, 0.5 M 4-tert-butylpyridine (TBP), 0.1 M guanidinium thiocyanate (GNCS), 1 M methyl-N-butylimidazolium iodide (BMII) in acetonitrile/valeronitrile (85:15 v/v)"
3678,"0.05 M LiI, 0.03 M I2, 0.5 M 4-tert-butylpyridine (TBP), 0.1 M guanidinium thiocyanate (GNCS), 1 M methyl-N-butylimidazolium iodide (BMII) in acetonitrile/valeronitrile (85:15 v/v)"
3679,"0.05 M LiI, 0.03 M I2, 0.5 M 4-tert-butylpyridine (TBP), 0.1 M guanidinium thiocyanate (GNCS), 1 M methyl-N-butylimidazolium iodide (BMII) in acetonitrile/valeronitrile (85:15 v/v)"
3680,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3681,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3682,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3683,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3684,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3685,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3686,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3687,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3688,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propylimidazolium iodide, and 0.5 M 4-tert-butylpyridine in acetonitrile"
3689,"0.1 M LiI, 0.05 M I2, 0.6 M 1-methyl-3-propyl-imidazolium iodide (PMII), and 0.5 M 4-tert-butylpyridine (TBP) in acetonitrile"
3690,"0.3 M DMPII, 0.1 M LiI, 0.05 M I2, and 0.5 M 4-TBP in acetonitrile"
3691,"0.3 M DMPII, 0.1 M LiI, 0.05 M I2, and 0.5 M 4-TBP in acetonitrile"
3692,"0.3 M DMPII, 0.1 M LiI, 0.05 M I2, and 0.5 M 4-TBP in acetonitrile"
3693,"0.3 M DMPII, 0.1 M LiI, 0.05 M I2, and 0.5 M 4-TBP in acetonitrile"
3694,"0.3 M DMPII, 0.1 M LiI, 0.05 M I2, and 0.5 M 4-TBP in acetonitrile"
3695,"0.3 M DMPII, 0.1 M LiI, 0.05 M I2, and 0.5 M 4-TBP in acetonitrile"
3696,"0.3 M DMPII, 0.1 M LiI, 0.05 M I2, and 0.5 M 4-TBP in acetonitrile"
